event_id,timestamp,user,host,source_ip,event_type,mitre_tactic,mitre_technique
38b6dde6-b295-46b1-bad4-2b650569ff04,2026-01-23T09:53:05.224524+00:00,alice,win-03,10.0.0.11,process_start,TA0002,T1059.003
702a7208-d87f-416b-9007-7a98e43d35b0,2026-01-23T09:53:09.265500+00:00,alice,win-03,10.0.0.11,process_start,TA0002,T1059.001
68c3d64b-a2d5-4383-8b27-887f54811e82,2026-01-23T09:53:12.739505+00:00,alice,win-03,10.0.0.11,process_start,TA0002,T1059.001
7c3e4c7f-7a9e-4b6c-b56a-af25e3d068c4,2026-01-23T09:53:14.407726+00:00,bob,win-01,10.0.0.11,user_login,TA0006,T1110
72dd6841-fc8e-4bf4-a4f9-cef7d13ddcc7,2026-01-23T09:53:15.679309+00:00,bob,win-03,10.0.0.10,user_login,TA0001,T1078
4d2ca9a5-afe6-4052-afec-d830f81b0714,2026-01-23T09:53:17.372592+00:00,bob,win-03,10.0.0.10,process_start,TA0002,T1059.001
fad32f30-95c9-424a-b32b-1d2b16856579,2026-01-23T09:53:20.532934+00:00,charlie,win-03,10.0.0.11,process_start,TA0002,T1059.003
f197b2c0-2f17-45ff-b893-66883ab496cb,2026-01-23T09:53:21.545439+00:00,bob,win-01,10.0.0.11,user_login,TA0006,T1110
3a615c2c-89c1-4d3a-a684-b8f86031b63d,2026-01-23T09:53:25.568476+00:00,admin,win-01,10.0.0.12,user_login,TA0006,T1110
3022addf-dd79-4f2a-955c-78729883688d,2026-01-23T09:53:27.295887+00:00,charlie,win-01,10.0.0.10,user_login,TA0006,T1110
76bd909b-3c21-436b-a021-57a67269e610,2026-01-23T09:53:31.524837+00:00,bob,win-02,10.0.0.12,user_login,TA0001,T1078
201c2f5d-f3c4-43d5-a997-5f5a9794154f,2026-01-23T09:53:34.392623+00:00,charlie,win-01,10.0.0.12,process_start,TA0002,T1059.003
27114a65-7392-45f4-b37b-573f93895539,2026-01-23T09:53:37.967638+00:00,charlie,win-01,10.0.0.10,user_login,TA0006,T1110
2265a5c0-bb6b-46df-920b-3e7c42dc09aa,2026-01-23T09:53:39.219314+00:00,bob,win-02,10.0.0.10,process_start,TA0002,T1059.001
81ad5b88-08c5-4e16-97fe-c8a33faf5cce,2026-01-23T09:53:41.044483+00:00,bob,win-03,10.0.0.12,user_login,TA0006,T1110
3749e08a-98fe-4976-b1ca-0b90d376c05f,2026-01-23T09:53:44.558474+00:00,charlie,win-02,10.0.0.11,user_login,TA0001,T1078
33322f27-c842-4b97-ba5f-6435e1c6417d,2026-01-23T09:53:46.900149+00:00,admin,win-01,10.0.0.12,user_login,TA0006,T1110
d66bc531-6dd3-40ea-b197-33bfc5fa8a3c,2026-01-23T09:53:51.758386+00:00,bob,win-02,10.0.0.10,process_start,TA0002,T1059.003
542273e9-aa15-4a3d-b822-e73df8fd3a0f,2026-01-23T09:53:53.628244+00:00,charlie,win-03,10.0.0.11,process_start,TA0002,T1059.001
9b91a51c-3a8b-4f77-888f-5de907d1deed,2026-01-23T09:53:55.532900+00:00,bob,win-02,10.0.0.12,user_login,TA0006,T1110
31eacd23-22b9-4241-b3bc-24cccb711be8,2026-01-23T09:53:57.064798+00:00,bob,win-03,10.0.0.11,process_start,TA0002,T1059.003
ea96a5f5-f1ff-43a5-b302-0f97e82d0a49,2026-01-23T09:53:58.782592+00:00,bob,win-03,10.0.0.10,user_login,TA0006,T1110
55062c74-09fd-497b-91f8-9bb93e6c619b,2026-01-23T09:54:01.182176+00:00,admin,win-03,10.0.0.11,user_login,TA0006,T1110
ea25ffa6-da60-4765-b631-7d22d57eff7b,2026-01-23T09:54:04.009222+00:00,charlie,win-02,10.0.0.11,user_login,TA0001,T1078
298dbf46-f678-42a7-918f-2c1172790544,2026-01-23T09:54:07.461471+00:00,bob,win-02,10.0.0.11,user_login,TA0006,T1110
eeb82224-4efd-4832-abd3-84b1f2b09f66,2026-01-23T09:54:12.086193+00:00,bob,win-02,10.0.0.11,user_login,TA0001,T1078
aa004e07-6df7-4cfb-a8c0-aad0e8e883b3,2026-01-23T09:54:13.464847+00:00,charlie,win-03,10.0.0.11,user_login,TA0001,T1078
53c3be01-6209-4f49-b2d0-bce992bcc7aa,2026-01-23T09:54:15.767016+00:00,alice,win-01,10.0.0.12,process_start,TA0002,T1059.001
